model,ablation,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,value,trainable_parameters,backend,world,benchmark
engineered_linear,none,20,16,4,201,101,201,301,test,all,mae,0.5910514475308364,17,,informative_observation,low_n
engineered_linear,none,20,16,4,201,101,201,301,test,all,rmse,0.8182677315151905,17,,informative_observation,low_n
flow_jump,no_flow,20,16,4,201,101,201,301,test,all,coverage_90,0.8202531018598777,6967,,informative_observation,low_n
flow_jump,no_flow,20,16,4,201,101,201,301,test,all,event_brier,0.12109142114285558,6967,,informative_observation,low_n
flow_jump,no_flow,20,16,4,201,101,201,301,test,all,event_log_loss,0.4081544910276542,6967,,informative_observation,low_n
flow_jump,no_flow,20,16,4,201,101,201,301,test,all,event_roc_auc,0.48692997524683246,6967,,informative_observation,low_n
flow_jump,no_flow,20,16,4,201,101,201,301,test,all,latent_aligned_r2,0.5996638804779205,6967,,informative_observation,low_n
flow_jump,no_flow,20,16,4,201,101,201,301,test,all,mae,0.5107609033584595,6967,,informative_observation,low_n
flow_jump,no_flow,20,16,4,201,101,201,301,test,all,nll,0.9299959083090744,6967,,informative_observation,low_n
flow_jump,no_flow,20,16,4,201,101,201,301,test,all,rmse,0.9087988099707448,6967,,informative_observation,low_n
flow_jump,no_jump,20,16,4,201,101,201,301,test,all,coverage_90,0.7960325911983952,4879,,informative_observation,low_n
flow_jump,no_jump,20,16,4,201,101,201,301,test,all,event_brier,0.13459526604431657,4879,,informative_observation,low_n
flow_jump,no_jump,20,16,4,201,101,201,301,test,all,event_log_loss,0.44571606377146894,4879,,informative_observation,low_n
flow_jump,no_jump,20,16,4,201,101,201,301,test,all,event_roc_auc,0.49876293700722707,4879,,informative_observation,low_n
flow_jump,no_jump,20,16,4,201,101,201,301,test,all,latent_aligned_r2,0.5648643671363851,4879,,informative_observation,low_n
flow_jump,no_jump,20,16,4,201,101,201,301,test,all,mae,0.5252231955528259,4879,,informative_observation,low_n
flow_jump,no_jump,20,16,4,201,101,201,301,test,all,nll,1.841102122874658,4879,,informative_observation,low_n
flow_jump,no_jump,20,16,4,201,101,201,301,test,all,rmse,0.8877630260395983,4879,,informative_observation,low_n
flow_jump,no_prob_scale,20,16,4,201,101,201,301,test,all,coverage_90,0.9730800663711335,6967,,informative_observation,low_n
flow_jump,no_prob_scale,20,16,4,201,101,201,301,test,all,event_brier,0.1188688603842801,6967,,informative_observation,low_n
flow_jump,no_prob_scale,20,16,4,201,101,201,301,test,all,event_log_loss,0.4022386574342441,6967,,informative_observation,low_n
